N°,id,status,all_images,aired_episodes,seen_episodes,up_to_date,runtime,name
189,283942,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/283942/62716769-0-optimized.jpg,24,0,False,25,Yona of the Dawn
191,283961,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/283961/1089374-0-optimized.jpg,12,0,False,25,Gangsta.
192,284131,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/284131/62487175-0-optimized.jpg,96,56,False,24,The Seven Deadly Sins
193,284133,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/284133/1069265-0-optimized.jpg,36,0,False,25,Rage of Bahamut
194,289177,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/289177/1115600-0-optimized.jpg,12,0,False,22,Death Parade
195,289590,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/289590/1143518-0-optimized.jpg,45,0,False,50,Mr. Robot
196,289679,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/289679/1170357-0-optimized.jpg,13,0,False,25,Charlotte
197,289744,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/289744/1196885-0-optimized.jpg,12,0,False,25,Yamada-kun and the Seven Witches (2015)
198,289882,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/289882/1094084-0-optimized.jpg,37,25,False,25,Is It Wrong to Try to Pick Up Girls in a Dungeon?
199,289886,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/289886/1348137-0-optimized.jpg,24,0,False,25,Blood Blockade Battlefront
200,289906,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/289906/1106947-0-optimized.jpg,24,0,False,25,Seraph of the End
201,289907,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/289907/1067516-0-optimized.jpg,12,0,False,25,Punch Line
203,291627,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/291627/62971165-0-optimized.jpg,13,0,False,25,Plastic Memories
204,291630,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/291630/1079898-0-optimized.jpg,33,0,False,25,The Heroic Legend of Arslan (2015)
207,293267,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/293267/1319026-0-optimized.jpg,12,0,False,25,Prison School
208,293996,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/293996/1174500-0-optimized.jpg,24,0,False,25,The Asterisk War: The Academy City on the Water
209,294002,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/294002/1292263-0-optimized.jpg,39,0,False,25,Overlord
211,295222,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/295222/62511674-0-optimized.jpg,24,0,False,25,GATE
212,295243,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/295243/1120490-0-optimized.jpg,12,0,False,23,Rokka: Braves of the Six Flowers
213,295685,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/295685/1152548-0-optimized.jpg,93,0,False,43,Lucifer
214,296072,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/296072/1075589-0-optimized.jpg,11,0,False,23,The Perfect Insider
215,299491,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/299491/1099208-0-optimized.jpg,24,0,False,25,Concrete Revolutio: Superhuman Phantasmagoria
